Date,MSFT,AAPL,NFLX,WFC,ABT,GOOG,AMZN,JNJ,GS
2013-09-12,28.12677956,14.99991417,43.05857086,33.78676987,30.0557766,444.8625488,298.8599854,73.49778748,146.3580627
2013-09-13,28.41932106,14.75270939,43.66428757,33.73079681,30.15089035,442.875,297.9200134,73.1344986,146.9404449
2013-09-16,28.2214241,14.28369522,43.16571426,34.29045868,30.2719326,442.2224426,296.0599976,73.514328,149.6552734
2013-09-17,28.33327103,14.44870663,42.79285812,34.25847626,30.23735428,441.4005127,304.1700134,73.53907776,150.0047302
2013-09-18,28.66883469,14.74572849,43.84571457,34.62622833,30.82532883,449.9733887,312.0299988,74.24095917,150.5781403
2013-09-19,28.94416046,14.98753357,43.6428566,34.34641266,30.55728531,447.5176086,312.0599976,74.37306976,150.3272705
2013-09-20,28.21282005,14.83235836,44.83285904,34.25847626,30.51406097,449.8687744,316.3399963,74.05101776,152.0923462
2013-09-23,28.1697979,15.56952286,43.14857101,33.82674026,30.36706352,441.5947876,311.4899902,73.5638504,148.0604248
2013-09-24,27.92028046,15.52065086,43.7842865,33.36302567,29.70991325,441.7641602,314.1300049,72.84549713,146.0175934
2013-09-25,27.97190285,15.2804327,43.87714386,33.42699432,29.11328316,436.9771118,312.6499939,71.90414429,145.426239
2013-09-26,28.19561577,15.42925644,44.78714371,33.26708603,29.10464096,437.445343,318.1199951,71.89588165,145.4083405
2013-09-27,28.62581444,15.31914616,44.62857056,33.25109863,28.65501595,436.5586853,316.0100098,71.61514282,143.2221985
2013-09-30,28.63441849,15.12874413,44.17285538,33.03522873,28.69825172,436.3195801,312.6400146,71.58210754,141.7527771
2013-10-01,28.89254761,15.48447227,46.37428665,33.17115021,29.20840263,441.8438721,320.9500122,72.22618866,142.460556
2013-10-02,29.18508339,15.53524494,47.24714279,32.98726273,29.3121624,442.3370056,320.5100098,72.07756805,142.1649017
2013-10-03,29.13345528,15.34008789,45.95999908,32.77939606,28.78471565,436.4092407,314.7600098,71.49129486,140.5342102
2013-10-04,29.15066528,15.32802963,46.7514267,33.01924515,29.01817513,434.5462036,319.0400085,72.09409332,140.2654266
2013-10-07,28.65162659,15.47781181,45.45142746,32.47558212,28.96629333,431.2535706,310.0299988,71.49953461,138.2046814
2013-10-08,28.40211105,15.26170826,43.18857193,32.17178345,28.54261208,425.2410889,303.230011,70.69035339,137.1295319
2013-10-09,28.45373726,15.44099903,41.20428467,32.26771927,28.68095016,426.3320007,298.230011,70.97932434,138.3749084
2013-10-10,29.04741669,15.53778362,43.4271431,33.13117218,29.21063614,432.4989014,305.1700134,72.4821701,141.5735321
